********************************
1. MODE
********************************
mode	cnum	inum
…来…往	22	过来过往,常来常往,开来继往,男来女往,攘来熙往,南来北往,独来独往,明来暗往,泰来否往,暑来寒往,来来往往,古来今往,大来小往,寒来暑往,迎来送往,日来月往,知来藏往,有来有往,你来我往,倏来忽往,熙来攘往,今来古往
…山…水	22	山山水水,高山流水,巫山洛水,尺山寸水,巴山蜀水,背山面水,穷山恶水,楚山巫水,奇山异水,千山万水,黑山白水,显山露水,出山泉水,青山绿水,剩山残水,寻山问水,重山复水,真山真水,三山二水,名山胜水,白山黑水,残山剩水
…山…海	21	跨山压海,骂山骂海,駡山駡海,人山人海,投山窜海,摧山搅海,道山学海,连山排海,盟山誓海,逾山越海,包山包海,火山汤海,愁山闷海,文山会海,倒山倾海,誓山盟海,恩山义海,义山恩海,如山似海,肉山酒海,寿山福海
…地…天	21	改地换天,缩地补天,锦地绣天,寸地尺天,酒地花天,知地知天,喜地欢天,平地成天,棘地荆天,撼地摇天,席地幕天,极地爬天,纬地经天,福地洞天,辟地开天,掘地寻天,覆地翻天,动地惊天,际地蟠天,触地号天,黑地昏天
…门…户	19	钻门出户,同门异户,走门串户,踅门踅户,小门小户,高门大户,窄门窄户,花门柳户,万门千户,傍门依户,灭门绝户,三门四户,清门静户,光门耀户,缠门缠户,分门别户,对门当户,辱门败户,千门万户
…往…来	19	暑往寒来,小往大来,攘往熙来,厚往薄来,独往独来,乍往乍来,以往鉴来,古往今来,改往修来,往往来来,神往神来,否往泰来,日往月来,寒往暑来,报往跋来,乐往哀来,露往霜来,继往开来,白往黑来
…生…死	17	觅生觅死,千生万死,自生自死,捉生替死,忘生舍死,气生气死,偷生惜死,舍生忘死,方生方死,生生死死,虚生浪死,回生起死,半生半死,七生七死,出生入死,闻生没死,同生共死
…前…后	17	退前缩后,背前面后,若前若后,搀前落后,人前背后,趋前退后,覆前戒后,台前幕后,关前垂后,狼前虎后,卢前王后,意前笔后,褪前擦后,前前后后,争前恐后,遮前掩后,一前一后
…心…意	17	全心全意,输心服意,五心六意,灰心丧意,好心好意,半心半意,小心在意,耐心耐意,有心有意,澄心清意,铁心铁意,虚心平意,粗心大意,洗心革意,低心下意,歪心邪意,回心转意
…情…意	16	来情去意,红情绿意,瞻情顾意,风情月意,主情造意,有情有意,寡情薄意,云情雨意,移情遣意,真情实意,讫情尽意,柳情花意,诗情画意,情情如意,山情水意,表情见意
…男…女	16	少男少女,不男不女,寸男尺女,孤男寡女,泼男泼女,小男妇女,俊男靓女,童男童女,红男绿女,重男轻女,男男女女,五男二女,一男半女,卖男鬻女,没男没女,携男挈女
…去…来	15	否去泰来,覆去翻来,北去南来,南去北来,过去未来,夜去明来,冬去春来,暮去朝来,眼去眉来,死去活来,送去迎来,时去时来,将去温来,雁去鱼来,暑去寒来
…眉…眼	15	酸眉醋眼,楞眉横眼,白眉赤眼,有眉有眼,安眉带眼,瞪眉瞠眼,愚眉肉眼,臊眉耷眼,鲜眉亮眼,做眉做眼,山眉水眼,神眉鬼眼,皱眉蹙眼,涎眉邓眼,没眉没眼
…歌…舞	15	凤歌鸾舞,涂歌巷舞,劲歌热舞,能歌善舞,鸾歌凤舞,选歌试舞,笑歌戏舞,笔歌墨舞,村歌社舞,燕歌赵舞,珠歌翠舞,前歌后舞,伯歌季舞,朝歌夜舞,式歌式舞
…嘴…舌	15	虚嘴掠舌,强嘴拗舌,对嘴对舌,説嘴説舌,说嘴说舌,有嘴没舌,使嘴使舌,卖嘴料舌,急嘴急舌,嘴嘴舌舌,摇嘴掉舌,咸嘴淡舌,碎嘴碎舌,七嘴八舌,软嘴塌舌
…仁…义	15	不仁不义,成仁取义,渐仁摩义,蹈仁履义,居仁由义,修仁行义,履仁蹈义,含仁怀义,槌仁提义,沐仁浴义,煦仁孑义,没仁没义,内仁外义,大仁大义,假仁假义
…鸾…凤	14	舞鸾歌凤,抛鸾拆凤,孤鸾寡凤,飞鸾翔凤,描鸾刺凤,娇鸾雏凤,离鸾别凤,骑鸾骖凤,颠鸾倒凤,惊鸾回凤,只鸾单凤,走鸾飞凤,乘鸾跨凤,鞭鸾笞凤
…云…雨	14	楚云湘雨,握云携雨,硝云弹雨,撩云拨雨,殢云尤雨,断云零雨,暮云朝雨,巫云楚雨,尤云殢雨,朝云暮雨,耕云播雨,拨云撩雨,袂云汗雨,翻云覆雨
…东…西	14	偷东摸西,扶东倒西,朝东暮西,声东击西,买东买西,日东月西,一东一西,文东武西,东东西西,拏东拏西,你东我西,推东主西,转东过西,涂东抹西
…长…短	14	喉长气短,有长有短,以长攻短,七长八短,尧长舜短,情长纸短,面长面短,长长短短,寸长尺短,送长送短,问长问短,箸长碗短,昼长夜短,鹤长凫短
…大…小	13	大大小小,雷大雨小,眼大肚小,抓大放小,七大八小,没大没小,鱼大水小,志大量小,匙大碗小,无大无小,可大可小,若大若小,胆大心小
…子…孙	13	圣子神孙,桂子兰孙,蛇子蛇孙,虎子狼孙,老子长孙,荒子孱孙,子子孙孙,毓子孕孙,公子王孙,抱子弄孙,嚚子憸孙,徒子徒孙,文子文孙
…街…巷	13	柳街花巷,穷街陋巷,走街串巷,三街六巷,前街后巷,串街走巷,打街骂巷,连街倒巷,花街柳巷,一街两巷,大街小巷,长街短巷,倒街卧巷
…死…生	13	轻死得生,送死养生,七死七生,向死而生,入死出生,起死回生,虽死犹生,不死不生,半死半生,出死入生,醉死梦生,你死我生,哀死事生
…文…武	13	入文出武,不文不武,左文右武,通文调武,轻文重武,弃文就武,经文纬武,出文入武,乃文乃武,披文握武,废文任武,揆文奋武,允文允武
…是…非	12	讨是寻非,大是大非,无是无非,公是公非,改是成非,独是独非,闲是闲非,是是非非,古是今非,谁是谁非,孰是孰非,国是日非
…雨…风	12	上雨旁风,宿雨餐风,美雨欧风,尧雨舜风,淮雨别风,血雨腥风,冒雨汤风,惨雨酸风,苦雨凄风,十雨五风,毕雨箕风,怪雨盲风
…言…行	12	菲言厚行,洁言污行,庸言庸行,讷言敏行,方言矩行,淫言诐行,懿言嘉行,矫言伪行,察言观行,妇言是行,一言一行,坐言起行
…多…少	12	不多不少,离多会少,侭多侭少,僧多粥少,或多或少,辞多受少,多多少少,凶多吉少,弊多利少,尽多尽少,狼多肉少,俠多俠少
…红…绿	12	红红绿绿,灯红酒绿,呼红喝绿,砌红堆绿,穿红着绿,纷红骇绿,品红评绿,面红面绿,露红烟绿,披红挂绿,除红捉绿,大红大绿
…头…尾	12	吴头楚尾,依头顺尾,改头换尾,眉头眼尾,年头月尾,针头线尾,连头搭尾,畏头畏尾,缺头少尾,九头八尾,蛇头蝎尾,大头小尾
…尔…斯	12	帕尔玛斯,吉尔吉斯,赫尔拉斯,米尔豪斯,福尔摩斯,弗尔古斯,鄂尔多斯,萨尔诺斯,塞尔留斯,法尔瑟斯,玛尔利斯,奎尔林斯
…头…子	12	九头狮子,骨头架子,家头房子,无头案子,木头橛子,平头奴子,火头食子,草头天子,正头娘子,寿头模子,丫头片子,毛头小子
…日…夜	12	没日没夜,终日终夜,弥日累夜,足日足夜,成日成夜,无日无夜,移日卜夜,尽日穷夜,昼日昼夜,镇日镇夜,日日夜夜,一日一夜
…衣…食	12	少衣缺食,觅衣求食,削衣贬食,袭衣兼食,黄衣廪食,身衣口食,拣衣挑食,宵衣旰食,解衣推食,草衣木食,鹑衣鷇食,褕衣甘食
…人…事	12	好人好事,择人而事,寻人启事,真人真事,做人做事,熟人熟事,快人快事,看人行事,感人故事,知人料事,坏人坏事,新人新事
…死…活	12	十死九活,装死卖活,七死八活,拼死拼活,觅死寻活,破死拉活,泼死泼活,寻死觅活,累死累活,说死说活,説死説活,你死我活
…古…今	11	不古不今,空古绝今,极古穷今,行古志今,通古博今,指古摘今,演古劝今,铄古切今,往古来今,涵古茹今,继古开今
…里…气	11	傻里傻气,土里土气,妖里妖气,小里小气,怪里怪气,楞里楞气,洋里洋气,流里流气,秀里秀气,鬼里鬼气,鸟里鸟气
…思…想	11	昼思夜想,眠思梦想,千思万想,行思坐想,左思右想,驰思遐想,竭思枯想,胡思乱想,前思后想,奇思妙想,七思八想
…同…异	11	乍同乍异,大同小异,赏同罚异,功同赏异,弃同即异,求同存异,貌同心异,名同实异,树同拔异,节同时异,本同末异
…南…北	11	上南落北,通南彻北,从南到北,眉南面北,雁南燕北,闯南走北,面南背北,东南西北,燕南赵北,正南巴北,走南闯北
…风…月	11	临风对月,晓风残月,批风抹月,捉风捕月,担风袖月,松风水月,光风霁月,迎风待月,飘风戏月,咏风嘲月,雕风镂月
…口…舌	11	扎口辣舌,弄口鸣舌,妄口巴舌,改口沓舌,多口饶舌,利口便舌,笨口拙舌,饕口馋舌,豁口截舌,搬口弄舌,摩口膏舌
…海…山	11	血海尸山,人海人山,涉海登山,渔海樵山,誓海盟山,荡海拔山,闷海愁山,义海恩山,火海刀山,雪海冰山,航海梯山
…己…人	11	虚己受人,欺己欺人,有己无人,枉己正人,尊己卑人,洁己爱人,利己损人,修己安人,损己利人,瘠己肥人,察己知人
…花…柳	10	摧花斫柳,残花败柳,拈花弄柳,花花柳柳,傍花随柳,移花换柳,迷花恋柳,墙花路柳,吟花咏柳,问花访柳
…头…脸	10	丑头怪脸,灰头土脸,戴头识脸,急头赖脸,有头有脸,油头滑脸,肥头大脸,平头正脸,没头没脸,神头鬼脸
…心…胆	10	放心托胆,忠心赤胆,琴心剑胆,熊心豹胆,铜心铁胆,赤心忠胆,开心见胆,剖心析胆,披心输胆,抠心挖胆
…高…低	10	说高说低,扒高踩低,言高语低,一高二低,头高头低,高高低低,知高识低,山高水低,七高八低,脚高步低
…手…足	10	束手束足,福手福足,皲手茧足,啓手啓足,一手一足,重手累足,胼手胝足,如手如足,敛手屏足,蹑手蹑足
…车…马	10	光车骏马,轻车快马,悬车束马,舟车楫马,鸠车竹马,一车两马,膏车秣马,云车风马,栈车牝马,泥车瓦马
…雨…云	10	杏雨梨云,瘴雨蛮云,暮雨朝云,惨雨愁云,断雨残云,喷雨嘘云,覆雨翻云,拨雨撩云,握雨携云,楚雨巫云
…枝…叶	10	千枝万叶,寻枝摘叶,青枝绿叶,柔枝嫩叶,胡枝扯叶,抱枝拾叶,正枝正叶,枯枝败叶,玉枝金叶,骈枝俪叶
…心…志	10	潜心笃志,洗心革志,蛊心丧志,安心定志,快心满志,屈心抑志,雄心壮志,夙心往志,精心励志,坚心守志
…克…尔	10	斯克利尔,鲁克拉尔,吉克希尔,米克哈尔,哈克佐尔,奥克玛尔,玛克卢尔,伊克萨尔,维克洛尔,麦克尼尔
…头…脚	9	从头到脚,卖头卖脚,残头落脚,缩头缩脚,蓬头赤脚,评头论脚,连头连脚,遮头安脚,鹤头蚊脚
…恩…德	9	孤恩负德,布恩施德,伯恩赛德,大恩大德,泰恩加德,天恩祖德,蒙恩被德,知恩报德,施恩布德
…心…腹	9	一心一腹,刿心刳腹,掏心剖腹,使心用腹,锦心绣腹,分心挂腹,倾心袒腹,木心石腹,知心可腹
…拉…尔	9	阿拉玛尔,奥拉基尔,艾拉迪尔,米拉多尔,塞拉希尔,克拉维尔,卡拉库尔,弗拉加尔,莎拉米尔
…清…白	9	一清二白,三清四白,不清不白,嘴清舌白,天清日白,清清白白,牙清口白,说清道白,风清月白
…模…样	9	笑模笑样,有模有样,死模活样,好模好样,像模像样,怪模怪样,别模改样,乔模乔样,善模善样
…言…说	9	千言万说,家言邪说,流言流说,狂言瞽说,秕言谬说,能言快说,詹言曲说,謏言謏说,诡言浮说
…柳…花	9	折柳攀花,败柳残花,弄柳拈花,宿柳眠花,傍柳随花,宠柳娇花,换柳移花,阶柳庭花,路柳墙花
…龙…虎	9	酒龙诗虎,如龙似虎,生龙活虎,蒲龙艾虎,乔龙画虎,蜀龙吴虎,雕龙绣虎,云龙风虎,正龙拍虎
…日…月	9	非日非月,积日累月,以日易月,沐日浴月,不日不月,旷日引月,没日没月,穷日落月,一日三月
…肥…瘦	9	挑肥拣瘦,不肥不瘦,环肥燕瘦,兄肥弟瘦,七肥八瘦,吃肥丢瘦,嫌肥挑瘦,盛肥丁瘦,抽肥补瘦
…虎…龙	8	伏虎降龙,卧虎藏龙,打虎牢龙,绣虎雕龙,贾虎荀龙,踞虎盘龙,酒虎诗龙,风虎云龙
…出…入	8	见出知入,言出患入,岐出岐入,迭出迭入,直出直入,浅出深入,歧出歧入,神出鬼入
…小…大	8	积小成大,舍小取大,才小任大,心小志大,从小到大,本小利大,柱小倾大,人小鬼大
…头…面	8	团头聚面,肥头大面,蒙头盖面,平头正面,牛头马面,神头鬼面,金头银面,当头对面
…亲…故	8	三亲六故,十亲九故,指亲托故,攀亲道故,无亲无故,沾亲带故,穷亲泼故,非亲非故
…眼…眉	8	带眼安眉,狼眼鼠眉,苫眼铺眉,睁眼苫眉,弄眼挤眉,泪眼愁眉,送眼流眉,展眼舒眉
…入…出	8	酒入舌出,蚤入晏出,投入产出,输入输出,蛇入鼠出,转入转出,悖入悖出,贱入贵出
…圆…方	8	凿圆枘方,外圆内方,戴圆履方,文圆质方,智圆行方,枘圆凿方,规圆矩方,随圆就方
…尔…拉	8	博尔塔拉,沙尔图拉,费尔库拉,科尔达拉,伊尔加拉,巴尔瑟拉,卡尔特拉,基尔哈拉
…今…古	8	察今知古,厚今薄古,涵今茹古,说今道古,薄今厚古,疑今察古,竞今疏古,不今不古
…水…山	8	乐水乐山,流水高山,秀水明山,千水万山,剩水残山,万水千山,范水模山,知水仁山
…雷…斯	8	克雷希斯,亚雷戈斯,玛雷弗斯,泽雷利斯,迈雷纳斯,阿雷克斯,瑟雷凯斯,欧雷巴斯
…行…步	8	蛇行鼠步,蜗行牛步,东行西步,鸭行鹅步,龙行虎步,肘行膝步,膝行肘步,规行矩步
…日…天	8	如日中天,蔽日遮天,浴日补天,舜日尧天,誓日指天,换日偷天,化日光天,转日回天
…名…姓	8	冒名顶姓,假名托姓,更名改姓,顶名冒姓,有名有姓,扬名显姓,真名实姓,连名带姓
…短…长	8	鹤短凫长,筮短龟长,节短韵长,尺短寸长,识短才长,七短八长,凫短鹤长,竞短争长
…见…闻	8	单见浅闻,见见闻闻,目见耳闻,僾见忾闻,惊见骇闻,喜见乐闻,所见所闻,浅见寡闻
…斯…尔	8	密斯莱尔,米斯瑞尔,耶斯帕尔,拉斯卡尔,维斯迦尔,奥斯蒂尔,凯斯利尔,沙斯拉尔
…言…辞	8	一言半辞,片言只辞,巧言偏辞,好言甘辞,放言遣辞,恶言詈辞,空言虚辞,悖言乱辞
…重…轻	8	头重脚轻,体重减轻,内重外轻,弃重取轻,任重才轻,畸重畸轻,居重驭轻,举重若轻
…轻…重	8	才轻任重,礼轻义重,畸轻畸重,没轻没重,本轻利重,举轻若重,人轻权重,世轻世重
…妻…子	7	娱妻弄子,火妻灰子,孀妻弱子,畜妻养子,判妻入子,梅妻鹤子,封妻荫子
…花…月	7	如花似月,羞花闭月,拈花弄月,烟花风月,闭花羞月,镜花水月,春花秋月
…神…鬼	7	求神拜鬼,瞎神捣鬼,神神鬼鬼,惊神泣鬼,蛇神牛鬼,捻神捻鬼,描神画鬼
…心…肝	7	刺心裂肝,镂心鉥肝,龙心凤肝,抓心挠肝,揪心扒肝,扑心扑肝,摧心剖肝
…心…肠	7	机心械肠,牵心挂肠,热心快肠,丢心落肠,锦心绣肠,开心见肠,呕心抽肠
…头…角	7	乌头马角,描头画角,狗头生角,藏头露角,蝇头蜗角,马头觅角,龙头锯角
…香…玉	7	偎香倚玉,团香弄玉,偷香窃玉,断香零玉,软香温玉,怜香惜玉,惜香怜玉
…言…句	7	四言八句,剧言苦句,鄙言累句,片言只句,躁言丑句,三言两句,一言半句
…声…实	7	先声后实,名声过实,向声背实,有声无实,腾声飞实,英声茂实,飞声腾实
…颜…色	7	奴颜婢色,五颜六色,正颜厉色,察颜观色,承颜候色,变颜变色,愁颜赧色
…拉…斯	7	卡拉诺斯,迈拉瑞斯,泰拉尼斯,瑟拉吉斯,勃拉姆斯,加拉加斯,利拉迪斯
…愁…恨	7	云愁雨恨,今愁古恨,千愁万恨,新愁旧恨,旧愁新恨,梁愁隋恨,雨愁烟恨
…国…家	7	开国承家,安国宁家,治国齐家,黼国黻家,英国皇家,外国专家,殃国祸家
…本…末	7	原本穷末,德本财末,张本继末,强本弱末,降本流末,弱本强末,进本退末
…脚…手	7	捻脚捻手,蹑脚蹑手,扎脚勒手,轻脚轻手,捏脚捏手,抬脚动手,七脚八手
…语…言	7	千语万言,秽语污言,课语讹言,苦语软言,乱语胡言,单语片言,万语千言
…凤…鸾	7	倒凤颠鸾,刺凤描鸾,寡凤孤鸾,笞凤鞭鸾,翥凤翔鸾,跨凤乘鸾,锁凤囚鸾
…故…新	7	送故迎新,背故向新,蜕故孳新,厌故喜新,温故知新,涤故更新,弃故揽新
…眉…目	7	愁眉苦目,低眉顺目,龙眉凤目,慈眉善目,洗眉刷目,疏眉朗目,怒眉睁目
…起…落	7	七起八落,兔起鹘落,几起几落,大起大落,手起刀落,此起彼落,起起落落
…花…草	7	花花草草,奇花异草,迷花沾草,墙花路草,锦花绣草,琪花瑶草,惹花拈草
…七…八	7	瞎七瞎八,露七露八,长七短八,七七八八,第七十八,说七说八,胡七乱八
…食…衣	7	推食解衣,粝食粗衣,蔬食布衣,豕食丐衣,玉食锦衣,菲食薄衣,缺食无衣
…声…色	7	无声无色,有声有色,疾声厉色,绘声绘色,贪声逐色,金声玉色,风声目色
…德…功	7	称德度功,讽德诵功,论德酬功,不德而功,崇德报功,积德累功,文德武功
…风…俗	7	敦风厉俗,观风察俗,迁风移俗,奇风异俗,浇风薄俗,采风问俗,调风变俗
…心…力	7	穷心剧力,地心引力,劳心苦力,有心无力,全心全力,熬心费力,费心劳力
…闻…见	7	罕闻寡见,览闻辩见,浅闻小见,博闻多见,喜闻乐见,区闻陬见,洽闻博见
…风…水	7	初风头水,听风听水,春风沂水,説风説水,说风说水,走风走水,餐风宿水
…天…日	7	光天化日,誓天指日,混天撩日,摩天碍日,补天浴日,尧天舜日,黄天焦日
…纳…斯	7	塔纳利斯,塞纳留斯,巴纳布斯,玛纳杜斯,菲纳雯斯,达纳苏斯,阿纳雷斯
…进…退	7	不进则退,以进为退,寸进尺退,旅进旅退,有进无退,用进废退,难进易退
…颠…倒	7	七颠八倒,无颠无倒,没颠没倒,言颠语倒,颠颠倒倒,魂颠梦倒,鸾颠凤倒
…一…二	7	选一选二,点一点二,功一美二,臣一主二,数一数二,點一點二,扬一益二
…买…卖	7	倒买倒卖,公买公卖,强买强卖,炒买炒卖,现买现卖,贱买贵卖,难买难卖
…心…性	7	兰心蕙性,慧心灵性,尽心知性,明心见性,牛心左性,动心忍性,灵心慧性
…人…世	7	为人处世,做人做世,寿人寿世,活人济世,知人论世,觉人觉世,阅人成世
…腔…调	7	南腔北调,陈腔滥调,油腔滑调,流腔流调,古腔古调,怪腔怪调,官腔官调
…好…恶	7	三好两恶,众好众恶,做好做恶,同好弃恶,嫌好道恶,无好无恶,衆好衆恶
…唇…舌	7	铜唇铁舌,斗唇合舌,泛唇泛舌,布唇枯舌,颠唇簸舌,乖唇蜜舌,花唇巧舌
…金…玉	7	铄金点玉,雕金篆玉,阄金阋玉,封金刊玉,横金拖玉,璞金浑玉,飞金走玉
…海…天	7	孽海情天,恨海愁天,搅海翻天,架海擎天,碧海青天,转海回天,酒海花天
…特…克	6	塔特纳克,奥特兰克,帕特里克,摩特维克,米特尼克,萨特拉克
…老…少	6	三老四少,反老为少,安老怀少,敬老慈少,老老少少,遗老遗少
…权…势	6	专权擅势,挟权倚势,揽权怙势,无权无势,有权有势,趋权附势
…大…大	6	一大三大,人大心大,命大福大,天大地大,家大业大,无大不大
…不…言	6	毫不讳言,书不尽言,名不虚言,自不待言,惨不忍言,绝不食言
…父…母	6	三父八母,严父慈母,召父杜母,同父异母,谷父蚕母,顽父嚚母
…牙…齿	6	金牙铁齿,磨牙凿齿,雌牙扮齿,斗牙拌齿,豁牙锯齿,怜牙悧齿
…易…难	6	由易到难,取易守难,知易行难,别易会难,多易多难,弃易求难
…孤…寡	6	形孤影寡,怜孤惜寡,称孤道寡,抚孤恤寡,势孤力寡,鸾孤凤寡
…国…民	6	救国救民,小国寡民,医国医民,裕国足民,护国佑民,为国为民
…吃…喝	6	骗吃混喝,好吃好喝,吃吃喝喝,大吃大喝,肥吃肥喝,白吃白喝
